date,recession_probability
1991-01-31,0.9996397966859907
1991-02-28,0.9998966769525444
1991-03-31,0.9990453586185702
1991-04-30,0.0004248244852222172
1991-05-31,0.00014346267427710604
1991-06-30,6.125193358131961e-06
1991-07-31,6.5124566127010244e-06
1991-08-31,6.184903584171679e-06
1991-09-30,6.200571742224223e-06
1991-10-31,5.583880155160283e-06
1991-11-30,9.545587887287448e-06
1991-12-31,7.046485516504856e-06
1992-01-31,6.07507127559554e-06
1992-02-29,5.928383862408436e-06
1992-03-31,5.569770299767508e-06
1992-04-30,5.583880155160283e-06
1992-05-31,5.731421095790004e-06
1992-06-30,5.731421095790004e-06
1992-07-31,5.569770299767508e-06
1992-08-31,6.090461198188845e-06
1992-09-30,5.583880155160283e-06
1992-10-31,5.583880155160283e-06
1992-11-30,5.583880155160283e-06
1992-12-31,5.583880155160283e-06
1993-01-31,5.583880155160283e-06
1993-02-28,5.583880155160283e-06
1993-03-31,5.864746007433894e-06
1993-04-30,5.583880155160283e-06
1993-05-31,5.556647556240675e-06
1993-06-30,5.583880155160283e-06
1993-07-31,5.583880155160283e-06
1993-08-31,5.583880155160283e-06
1993-09-30,5.583880155160283e-06
1993-10-31,5.583880155160283e-06
1993-11-30,5.583880155160283e-06
1993-12-31,5.583880155160283e-06
1994-01-31,5.583880155160283e-06
1994-02-28,5.583880155160283e-06
1994-03-31,5.583880155160283e-06
1994-04-30,5.583880155160283e-06
1994-05-31,5.583880155160283e-06
1994-06-30,5.583880155160283e-06
1994-07-31,5.583880155160283e-06
1994-08-31,5.583880155160283e-06
1994-09-30,5.583880155160283e-06
1994-10-31,5.583880155160283e-06
1994-11-30,5.583880155160283e-06
1994-12-31,5.583880155160283e-06
1995-01-31,5.583880155160283e-06
1995-02-28,5.583880155160283e-06
1995-03-31,5.583880155160283e-06
1995-04-30,6.476752608269646e-06
1995-05-31,5.864746007433894e-06
1995-06-30,6.200571742224223e-06
1995-07-31,6.611727851814447e-06
1995-08-31,5.583880155160283e-06
1995-09-30,6.200571742224223e-06
1995-10-31,6.6441312641287214e-06
1995-11-30,6.200571742224223e-06
1995-12-31,6.200571742224223e-06
1996-01-31,9.879673038172958e-06
1996-02-29,6.200571742224223e-06
1996-03-31,6.6441312641287214e-06
1996-04-30,5.583880155160283e-06
1996-05-31,5.583880155160283e-06
1996-06-30,5.583880155160283e-06
1996-07-31,5.731421095790004e-06
1996-08-31,5.583880155160283e-06
1996-09-30,5.583880155160283e-06
1996-10-31,5.583880155160283e-06
1996-11-30,5.731421095790004e-06
1996-12-31,5.583880155160283e-06
1997-01-31,5.583880155160283e-06
1997-02-28,5.583880155160283e-06
1997-03-31,5.583880155160283e-06
1997-04-30,5.583880155160283e-06
1997-05-31,5.583880155160283e-06
1997-06-30,5.583880155160283e-06
1997-07-31,5.583880155160283e-06
1997-08-31,5.864746007433894e-06
1997-09-30,5.583880155160283e-06
1997-10-31,5.583880155160283e-06
1997-11-30,5.583880155160283e-06
1997-12-31,5.583880155160283e-06
1998-01-31,5.583880155160283e-06
1998-02-28,5.583880155160283e-06
1998-03-31,5.583880155160283e-06
1998-04-30,5.583880155160283e-06
1998-05-31,5.583880155160283e-06
1998-06-30,5.556647556240675e-06
1998-07-31,5.556647556240675e-06
1998-08-31,5.583880155160283e-06
1998-09-30,2.2329187879121402e-05
1998-10-31,2.2329187879121402e-05
1998-11-30,5.583880155160283e-06
1998-12-31,5.583880155160283e-06
1999-01-31,5.583880155160283e-06
1999-02-28,5.583880155160283e-06
1999-03-31,5.583880155160283e-06
1999-04-30,5.583880155160283e-06
1999-05-31,5.583880155160283e-06
1999-06-30,5.583880155160283e-06
1999-07-31,5.583880155160283e-06
1999-08-31,5.583880155160283e-06
1999-09-30,5.556647556240675e-06
1999-10-31,5.583880155160283e-06
1999-11-30,5.583880155160283e-06
1999-12-31,5.583880155160283e-06
2000-01-31,5.908038498266579e-06
2000-02-29,5.583880155160283e-06
2000-03-31,2.2329187879121402e-05
2000-04-30,2.2329187879121402e-05
2000-05-31,5.731421095790004e-06
2000-06-30,5.864746007433894e-06
2000-07-31,5.583880155160283e-06
2000-08-31,6.6441312641287214e-06
2000-09-30,5.583880155160283e-06
2000-10-31,5.556647556240675e-06
2000-11-30,6.143650312360068e-06
2000-12-31,1.1170974171971606e-05
2001-01-31,4.374014179856622e-05
2001-02-28,4.148445210329737e-05
2001-03-31,0.0002526270724848577
2001-04-30,0.9994744372062334
2001-05-31,0.9993417717505382
2001-06-30,0.9991530934322013
2001-07-31,0.9994794673204576
2001-08-31,0.9989970949280778
2001-09-30,0.9999119456556249
2001-10-31,0.9999001578111307
2001-11-30,0.9998946222612507
2001-12-31,0.00017399905442285217
2002-01-31,6.783442343301223e-05
2002-02-28,3.155649814748603e-05
2002-03-31,1.1579409997963496e-05
2002-04-30,1.0908940459444107e-05
2002-05-31,5.583880155160283e-06
2002-06-30,5.583880155160283e-06
2002-07-31,7.81076614561098e-06
2002-08-31,6.174200097553726e-06
2002-09-30,8.563672308060954e-06
2002-10-31,0.00012131557329086205
2002-11-30,6.266768753093289e-06
2002-12-31,8.118048378402328e-05
2003-01-31,5.583880155160283e-06
2003-02-28,7.3339604109435995e-06
2003-03-31,0.0009401493409996915
2003-04-30,0.0009519731082685613
2003-05-31,5.5810026982109e-06
2003-06-30,6.684532844987946e-06
2003-07-31,5.583880155160283e-06
2003-08-31,7.746077283660718e-06
2003-09-30,5.583880155160283e-06
2003-10-31,5.583880155160283e-06
2003-11-30,5.583880155160283e-06
2003-12-31,5.583880155160283e-06
2004-01-31,5.583880155160283e-06
2004-02-29,5.583880155160283e-06
2004-03-31,5.703468943399957e-06
2004-04-30,5.583880155160283e-06
2004-05-31,5.583880155160283e-06
2004-06-30,5.556647556240675e-06
2004-07-31,5.583880155160283e-06
2004-08-31,5.583880155160283e-06
2004-09-30,5.583880155160283e-06
